name,adresse,telefon,website,hat_website,score,probleme,empfehlung,types,final_url,https,viewport,score,probleme,empfehlung,status,fehler
Restaurant Brauhaus zur Sonne - Mainz,"Sonnengäßchen 2, 55116 Mainz, Deutschland",06131 231610,http://brauhauszursonne.de/,True,20,kein HTTPS; kein Mobile-Viewport; HTML4/XHTML Doctype; Frames/Frameset,Dringend neues Design,"restaurant,food,point_of_interest,establishment",http://brauhauszursonne.de/,False,False,20,kein HTTPS; kein Mobile-Viewport; HTML4/XHTML Doctype; Frames/Frameset,Dringend neues Design,200,
Ristorante Midi,"Mitternachtsgasse 3, 55116 Mainz, Deutschland",06131 235800,http://www.bistrorante-midi.de/,True,32,kein HTTPS; kein Mobile-Viewport; <center>-Tags; Tabellen-Layout,Redesign empfohlen,"italian_restaurant,pizza_restaurant,bistro,meal_takeaway,restaurant,food,point_of_interest,establishment",http://www.bistrorante-midi.de/,False,False,32,kein HTTPS; kein Mobile-Viewport; <center>-Tags; Tabellen-Layout,Redesign empfohlen,200,
Café B20,"Betzelsstraße 20-24, 55116 Mainz, Deutschland",06131 2122019,http://www.b20.cafe/,True,40,kein HTTPS; <font>-Tags; <center>-Tags; alte jQuery (jquery-1.8); Copyright bis 2016,Redesign empfohlen,"cafe,coffee_shop,breakfast_restaurant,food_store,store,restaurant,food,point_of_interest,establishment",http://www.b20.cafe/,False,True,40,kein HTTPS; <font>-Tags; <center>-Tags; alte jQuery (jquery-1.8); Copyright bis 2016,Redesign empfohlen,200,
Hiro Sushi Vietnam finest asian kitchen,"Binger Str. 11, 55116 Mainz, Deutschland",06131 8893835,http://hirosushi-mainz.de/wp-content/uploads/2025/11/Hiro_Karte_191025.pdf,True,43,kein HTTPS; kein Mobile-Viewport; keine Media Queries,Redesign empfohlen,"asian_restaurant,sushi_restaurant,japanese_restaurant,restaurant,food,point_of_interest,establishment",http://hirosushi-mainz.de/wp-content/uploads/2025/11/Hiro_Karte_191025.pdf,False,False,43,kein HTTPS; kein Mobile-Viewport; keine Media Queries,Redesign empfohlen,200,
Buddhas MAINZ,"Adolf-Kolping-Straße 4, 55116 Mainz, Deutschland",06131 4820577,http://www.buddhas-mainz.de/,True,47,kein HTTPS; kein Mobile-Viewport; <center>-Tags,Redesign empfohlen,"sushi_restaurant,food_delivery,meal_takeaway,japanese_restaurant,restaurant,point_of_interest,food,establishment",http://www.buddhas-mainz.de/,False,False,47,kein HTTPS; kein Mobile-Viewport; <center>-Tags,Redesign empfohlen,200,
Baron,"Johann-Joachim-Becher-Weg 3, 55128 Mainz, Deutschland",06131 385850,https://www.baron-mainz.de/,True,48,kein Mobile-Viewport; HTML4/XHTML Doctype; Copyright bis 1998,Redesign empfohlen,"restaurant,food,point_of_interest,establishment",https://www.baron-mainz.de/,True,False,48,kein Mobile-Viewport; HTML4/XHTML Doctype; Copyright bis 1998,Redesign empfohlen,200,
Red Chilli,"Am Judensand 3, 55122 Mainz, Deutschland",06131 5702652,http://redchilli-thai.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=67f125bc-6dba-45a8-afb3-3623c7db4ef7,True,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,"thai_restaurant,restaurant,food,point_of_interest,establishment",http://redchilli-thai.de/,False,False,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,308,
Thai Express,"Adolf-Kolping-Straße 4, 55116 Mainz, Deutschland",06131 6028888,http://thaiexpress-food.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=b993f621-4d05-4aee-8dc6-815a0352e6a5,True,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,"thai_restaurant,asian_restaurant,meal_takeaway,japanese_restaurant,restaurant,point_of_interest,food,establishment",http://thaiexpress-food.de/,False,False,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,308,
Stadthaus Schänke,"Stadionerhofstraße 1, 55116 Mainz-Altstadt, Deutschland",06131 225845,http://www.stadthausschaenke-mainz.de/,True,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,"restaurant,food,point_of_interest,establishment",http://www.stadthausschaenke-mainz.de/,False,False,55,kein HTTPS; kein Mobile-Viewport,Modernisierung empfohlen,200,
Niko Niko Tei,"Gaustraße 67, 55116 Mainz-Altstadt, Deutschland",06131 2112888,http://www.nikonikotei.de/,True,56,kein HTTPS; keine Media Queries; Copyright bis 1999,Modernisierung empfohlen,"japanese_restaurant,sushi_restaurant,restaurant,food,point_of_interest,establishment",http://www.nikonikotei.de/,False,True,56,kein HTTPS; keine Media Queries; Copyright bis 1999,Modernisierung empfohlen,200,
Hoa Mai,"Mittlere Bleiche 23, 55116 Mainz, Deutschland",06131 9459662,http://www.hoa-mai.de.rs/,True,60,kein HTTPS; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment",http://www.hoa-mai.de.rs/,False,True,60,kein HTTPS; IE-Kompatibilität; keine Media Queries,Modernisierung empfohlen,404,
Weinhaus & Restaurant Hahnenhof,"Wallaustraße 18, 55118 Mainz, Deutschland",06131 2121150,http://hahnenhof-mainz.de/,True,60,kein Mobile-Viewport; HTML4/XHTML Doctype,Modernisierung empfohlen,"restaurant,austrian_restaurant,wine_bar,german_restaurant,european_restaurant,bar,food,point_of_interest,establishment",https://hahnenhof-mainz.de/,True,False,60,kein Mobile-Viewport; HTML4/XHTML Doctype,Modernisierung empfohlen,200,
Bistro Quadrifoglio,"Breite Str. 55, 55124 Mainz-Gonsenheim, Deutschland",06131 466211,http://www.bistro-quadrifoglio.de/,True,60,kein Mobile-Viewport; HTML4/XHTML Doctype,Modernisierung empfohlen,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.bistro-quadrifoglio.de/,True,False,60,kein Mobile-Viewport; HTML4/XHTML Doctype,Modernisierung empfohlen,200,
Ristorante INCONTRO,"Augustinerstraße 57, 55116 Mainz, Deutschland",06131 238221,http://www.incontro-ristorante.de/,True,60,kein HTTPS; IE-Kompatibilität; Copyright bis 1998,Modernisierung empfohlen,"italian_restaurant,mediterranean_restaurant,restaurant,food,point_of_interest,establishment",http://www.incontro-ristorante.de/index.php?id=99,False,True,60,kein HTTPS; IE-Kompatibilität; Copyright bis 1998,Modernisierung empfohlen,200,
Il Forno a Legna,"Klarastraße 2, 55116 Mainz, Deutschland",06131 2113838,https://il-forno-a-legna-mainz.gustogang.de/,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"meal_takeaway,restaurant,food,point_of_interest,establishment",https://il-forno-a-legna-mainz.gustogang.de/,True,False,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,200,
Thai Country,"Emmeransstraße 32, 55116 Mainz, Deutschland",06131 9716125,https://m.facebook.com/100068368013231/,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"thai_restaurant,restaurant,food,point_of_interest,establishment",https://m.facebook.com/100068368013231/,True,False,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,200,
Nudel- und Sushibar Hai Phan,"Dr.-Martin-Luther-King-Weg 20, 55122 Mainz, Deutschland",06131 5709239,https://m.facebook.com/pages/Hai-Sushi-Nudelbar/641187245946029,True,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,"sushi_restaurant,japanese_restaurant,restaurant,point_of_interest,food,establishment",https://m.facebook.com/cookie/consent_prompt/?next_uri=https%3A%2F%2Fm.facebook.com%2Flogin.php%3Fnext%3Dhttps%253A%252F%252Fm.facebook.com%252Fpages%252FHai-Sushi-Nudelbar%252F641187245946029%26refsrc%3Ddeprecated&refsrc=deprecated&_rdr,True,False,63,kein Mobile-Viewport; keine Media Queries,Modernisierung empfohlen,200,
Cafe Extrablatt Mainz Schillerplatz,"Ludwigsstraße 1, 55116 Mainz, Deutschland",06131 6299454,https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-mainz-schillerplatz,True,65,Tabellen-Layout; IE-Kompatibilität; Copyright bis 1998,Modernisierung empfohlen,"restaurant,breakfast_restaurant,bar,cafe,food,point_of_interest,establishment",https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-mainz-schillerplatz,True,True,65,Tabellen-Layout; IE-Kompatibilität; Copyright bis 1998,Modernisierung empfohlen,200,
Cafe Extrablatt Mainz Markt,"Markt 7-9, 55116 Mainz, Deutschland",06131 912697,https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-mainz-markt,True,65,Tabellen-Layout; IE-Kompatibilität; Copyright bis 1998,Modernisierung empfohlen,"restaurant,breakfast_restaurant,cafe,bar,food,point_of_interest,establishment",https://cafe-extrablatt.de/standorte/details/cafe-extrablatt-mainz-markt,True,True,65,Tabellen-Layout; IE-Kompatibilität; Copyright bis 1998,Modernisierung empfohlen,200,
Olivengarten,"Ebersheimer Weg 32, 55131 Mainz, Deutschland",06131 2121606,http://olivengarten-mainz.de/,True,65,kein Mobile-Viewport; Baukasten ohne Media Queries,Modernisierung empfohlen,"italian_restaurant,restaurant,food,point_of_interest,establishment",https://www.olivengarten-mainz.de/,True,False,65,kein Mobile-Viewport; Baukasten ohne Media Queries,Modernisierung empfohlen,200,
Steins Traube - Mainz,"Poststraße 4, 55126 Mainz, Deutschland",06131 40249,https://steins-traube.de/,True,67,<font>-Tags; Tabellen-Layout; IE-Kompatibilität,Modernisierung empfohlen,"fine_dining_restaurant,french_restaurant,german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://steins-traube.de/,True,True,67,<font>-Tags; Tabellen-Layout; IE-Kompatibilität,Modernisierung empfohlen,200,
vietshaus,"Elisabethenstraße 2, 55130 Mainz, Deutschland",06131 2106821,http://www.vietshaus.de/,True,67,kein Mobile-Viewport; IE-Kompatibilität,Modernisierung empfohlen,"asian_restaurant,restaurant,food,point_of_interest,establishment",https://drive.google.com/file/d/1lBlVbpbL2v_SSNl_qUDuQys9nbxCXV-3/view,True,False,67,kein Mobile-Viewport; IE-Kompatibilität,Modernisierung empfohlen,200,
UDP Mainz Restaurante,"Mombacher Str. 38b, 55122 Mainz, Deutschland",06131 373214,http://udp-mainz-restaurante.com/,True,68,kein HTTPS; keine Media Queries,Modernisierung empfohlen,"portuguese_restaurant,european_restaurant,seafood_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment",http://udp-mainz-restaurante.com/,False,True,68,kein HTTPS; keine Media Queries,Modernisierung empfohlen,200,
Pizzeria La Casetta,"Heidesheimer Str. 12, 55124 Mainz, Deutschland",06131 467199,http://www.la-casetta-mainz.com/,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,"pizza_restaurant,italian_restaurant,restaurant,point_of_interest,food,establishment",http://www.la-casetta-mainz.com/,False,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,200,
La Rustica,"Alexander-Diehl-Straße 14, 55130 Mainz, Deutschland",06131 5769999,http://la-rustica-mainz.de/,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,"italian_restaurant,pizza_restaurant,restaurant,food,point_of_interest,establishment",http://la-rustica-mainz.de/,False,True,70,kein HTTPS; feste Pixel-Breite,Modernisierung empfohlen,200,
Ha Long - Asia Cuisine,"Holzstraße 22, 55116 Mainz, Deutschland",0176 32778844,https://www.ha-long-mainz.de/,True,70,<center>-Tags; feste Pixel-Breite; Copyright bis 2006,Modernisierung empfohlen,"asian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",https://places.thebest100hotels.com/en/generic/ha-long-vietnamese-cuisine/,True,True,70,<center>-Tags; feste Pixel-Breite; Copyright bis 2006,Modernisierung empfohlen,200,
Restaurant Plaka,"Albert-Schweitzer-Straße 19, 55128 Mainz, Deutschland",06131 335915,http://restaurantplakamainz.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"greek_restaurant,mediterranean_restaurant,restaurant,food,point_of_interest,establishment",http://restaurantplakamainz.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
Quartier Mayence,"Weihergartenstraße 12, 55116 Mainz-Altstadt, Deutschland",06131 2199533,http://www.quartiermayence-bar.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"restaurant,event_venue,food,point_of_interest,establishment",http://www.quartiermayence-bar.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
Pizzeria & Bistro Lupo Mainz,"Stahlbergstraße 24, 55131 Mainz, Deutschland",06131 51150,http://lupopizzeria.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"pizza_delivery,meal_takeaway,meal_delivery,food_delivery,italian_restaurant,restaurant,food,point_of_interest,establishment",http://lupopizzeria.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
China Garden,"Mombacher Str. 76A, 55122 Mainz, Deutschland",06131 6007060,http://china-garden-mainz-lieferservice.de/,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,"chinese_restaurant,mongolian_barbecue_restaurant,asian_restaurant,thai_restaurant,sushi_restaurant,japanese_restaurant,buffet_restaurant,restaurant,point_of_interest,food,establishment",http://china-garden-mainz-lieferservice.de/,False,True,72,kein HTTPS; IE-Kompatibilität,Modernisierung empfohlen,403,
Ristorante Piccolo Mondo,"Anna-Birle-Straße 3A, 55252 Wiesbaden-Mainz-Kastel, Deutschland",06134 202929,http://www.piccolomondo-it.de/,True,72,<center>-Tags; IE-Kompatibilität; Copyright bis 2017,Modernisierung empfohlen,"italian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",https://www.piccolomondo-it.de/,True,True,72,<center>-Tags; IE-Kompatibilität; Copyright bis 2017,Modernisierung empfohlen,200,
Maxim - Restaurant,"Neubrunnenplatz 1a, 55116 Mainz, Deutschland",06131 1439429,https://maxim-mz.de/,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,"western_restaurant,cocktail_bar,apartment_building,bar,lodging,service,restaurant,food,point_of_interest,establishment",https://maxim-mz.de/,True,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,200,
pankratz,"Lindenpl. 6, 55129 Mainz-Hechtsheim, Deutschland",06131 957780,https://www.pankratiushof.de/,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,"german_restaurant,breakfast_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://www.pankratiushof.de/,True,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,200,
Café Lille Hus Mainz,"Kirschgarten 21, 55116 Mainz, Deutschland",,https://www.lillehusmainz.de/,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,"breakfast_restaurant,scandinavian_restaurant,cafe,restaurant,food,point_of_interest,establishment",https://www.lillehusmainz.de/,True,True,72,feste Pixel-Breite; IE-Kompatibilität; alter Generator (iweb),Modernisierung empfohlen,200,
heimat-mainz,"Spritzengasse 2, 55116 Mainz, Deutschland",06131 2499434,https://heimat-mainz.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,restaurant,food,point_of_interest,establishment",https://heimat-mainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,308,
Corfu Mainz,"Schillstraße 15, 55131 Mainz, Deutschland",06131 6694841,https://corfumainz.de/?utm_source=google_business_profile&utm_medium=button&utm_tracking_link_id=3cf62558-6d44-4cb5-9c70-cea3c69c54d4,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://corfumainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,308,
La Siciliana Mainz,"Heuerstraße 14A, 55129 Mainz, Deutschland",06131 6334692,https://lasicilianamainz.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"italian_restaurant,pizza_delivery,pizza_restaurant,meal_delivery,food_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment",https://lasicilianamainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,308,
Hà Nội Phố,"Neubrunnenstraße 3, 55116 Mainz, Deutschland",06131 2400505,https://hanoipho.günstigbestellen.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"vietnamese_restaurant,meal_delivery,food_delivery,noodle_shop,meal_takeaway,japanese_restaurant,restaurant,food,point_of_interest,establishment",https://hanoipho.günstigbestellen.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,400,
Asia Mai-Linh,"Philipp-Reis-Straße 13, 55129 Mainz, Deutschland",06131 501308,https://mai-linh.günstigbestellen.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"asian_restaurant,thai_restaurant,restaurant,point_of_interest,food,establishment",https://mai-linh.günstigbestellen.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,400,
Pizzeria Sole,"Pariser Str. 20, 55131 Mainz, Deutschland",06131 6968999,http://www.sole-mainz.de/,True,75,Tabellen-Layout; feste Pixel-Breite,OK – ggf. kleine Updates,"pizza_restaurant,italian_restaurant,meal_takeaway,restaurant,point_of_interest,food,establishment",https://sole-mainz.de/,True,True,75,Tabellen-Layout; feste Pixel-Breite,OK – ggf. kleine Updates,200,
Gudn. Restaurant & Weingarten,"Breite Str. 65, 55124 Mainz, Deutschland",06131 6968543,http://www.gudn-food.de/,True,75,HTML4/XHTML Doctype; feste Pixel-Breite,OK – ggf. kleine Updates,"restaurant,food,point_of_interest,establishment",https://www.gudn-food.de/,True,True,75,HTML4/XHTML Doctype; feste Pixel-Breite,OK – ggf. kleine Updates,200,
Zenbi - Sushi Mainz & Asiatisches Fusion Restaurant,"Rotekopfgasse 2, 55116 Mainz, Deutschland",06131 6062648,https://zenbi-mainz.de/,True,75,kein Mobile-Viewport,OK – ggf. kleine Updates,"sushi_restaurant,japanese_restaurant,asian_fusion_restaurant,fusion_restaurant,asian_restaurant,restaurant,food,point_of_interest,establishment",https://zenbi-mainz.de/,True,False,75,kein Mobile-Viewport,OK – ggf. kleine Updates,200,
Geberts Weinstuben,"Frauenlobstraße 94, 55118 Mainz, Deutschland",06131 611619,http://www.geberts-weinstuben.de/,True,76,keine Media Queries; Copyright bis 1998,OK – ggf. kleine Updates,"german_restaurant,european_restaurant,bar,restaurant,food,point_of_interest,establishment",https://www.geberts-weinstuben.de/,True,True,76,keine Media Queries; Copyright bis 1998,OK – ggf. kleine Updates,200,
Bellpepper Restaurant & Terrasse,"Templerstraße 6, 55116 Mainz, Deutschland",06131 7311537,https://www.bellpepper.de/?utm_source=googlebusinessprofile&utm_medium=organic&utm_campaign=website,True,77,Tabellen-Layout; IE-Kompatibilität,OK – ggf. kleine Updates,"restaurant,fine_dining_restaurant,food,point_of_interest,establishment",https://www.bellpepper.de/,True,True,77,Tabellen-Layout; IE-Kompatibilität,OK – ggf. kleine Updates,200,
Prost & Mahlzeit – Mainz,"Schusterstraße 18 - 20, 55116 Mainz, Deutschland",06131 2494031,http://www.prostundmahlzeit-mainz.de/,True,78,feste Pixel-Breite; keine Media Queries,OK – ggf. kleine Updates,"german_restaurant,brewpub,wine_bar,beer_garden,pub,european_restaurant,bar,restaurant,food,point_of_interest,establishment",https://www.prostundmahlzeit-mainz.de/,True,True,78,feste Pixel-Breite; keine Media Queries,OK – ggf. kleine Updates,200,
ALEX Mainz,"Gutenbergpl. 14, 55116 Mainz, Deutschland",06131 1447350,http://www.dein-alex.de/mainz,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,"restaurant,brunch_restaurant,breakfast_restaurant,snack_bar,cafe,meal_takeaway,food,point_of_interest,establishment",https://www.dein-alex.de/mainz,True,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,200,
Café Dinges Mainz,"Mailandsgasse 2, 55116 Mainz-Rebstockplatz, Deutschland",06131 227833,http://www.cafe-dinges.com/,True,80,kein HTTPS,OK – ggf. kleine Updates,"cafe,food,point_of_interest,establishment",http://www.cafe-dinges.com/offline,False,True,80,kein HTTPS,OK – ggf. kleine Updates,200,
"Ristorante alCortile Holzofenpizzeria con Cucina ''1. Mainzer Holzofenpizzeria""","Kartäuserstraße 14, 55116 Mainz, Deutschland",06131 617878,http://www.alcortile.de/,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,"italian_restaurant,meal_takeaway,restaurant,food,point_of_interest,establishment",https://www.alcortile.de/index.php?id=97,True,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,200,
Hanoi,"Münsterstraße 17-19, 55116 Mainz, Deutschland",06131 6962302,http://hanoi-mainz.de/,True,80,<font>-Tags; feste Pixel-Breite,OK – ggf. kleine Updates,"vietnamese_restaurant,restaurant,food,point_of_interest,establishment",https://hanoi-mainz.de/,True,True,80,<font>-Tags; feste Pixel-Breite,OK – ggf. kleine Updates,200,
HANS IM GLÜCK - MAINZ Gutenbergplatz,"Gutenbergpl. 6, 55116 Mainz, Deutschland",06131 926604,https://hansimglueck-burgergrill.de/burger-restaurant/mainz-gutenbergplatz/?utm_source=google&utm_medium=yext&utm_campaign=33,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,"hamburger_restaurant,vegan_restaurant,lounge_bar,vegetarian_restaurant,night_club,bar_and_grill,bar,american_restaurant,restaurant,food,point_of_interest,establishment",https://hansimglueck-burgergrill.de/burger-restaurant/mainz-gutenbergplatz/,True,True,80,IE-Kompatibilität; Copyright bis 1998,OK – ggf. kleine Updates,200,
El Burro,"Dominikanerstraße 2, 55116 Mainz, Deutschland",06131 2144795,http://www.el-burro.de/,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,"mexican_restaurant,restaurant,food,point_of_interest,establishment",https://el-burro.de/,True,True,82,feste Pixel-Breite; IE-Kompatibilität,OK – ggf. kleine Updates,200,
